"id","ticker","price","change_amount","change_percentage","volume","category","date_fetched"
207,HSPOW,0.0179,-0.0161,-47.3529%,352,top_losers,2024-09-15 08:01:37.622
208,VMAR,0.7797,-0.7003,-47.3176%,34716303,top_losers,2024-09-15 08:01:37.676
209,XBPEW,0.016,-0.013,-44.8276%,13163,top_losers,2024-09-15 08:01:37.714
210,CELUW,0.0111,-0.0088,-44.2211%,2241,top_losers,2024-09-15 08:01:37.749
211,GB+,0.056,-0.044,-44.0%,19423,top_losers,2024-09-15 08:01:37.798
212,BCGWW,0.0332,-0.0258,-43.7288%,3200,top_losers,2024-09-15 08:01:37.836
213,SLQT,2.03,-1.56,-43.454%,12813876,top_losers,2024-09-15 08:01:37.885
214,PRLD,2.77,-2.06,-42.6501%,2471404,top_losers,2024-09-15 08:01:37.916
215,NCPLW,0.0141,-0.0092,-39.485%,1500,top_losers,2024-09-15 08:01:37.938
216,KACLR,0.0901,-0.0567,-38.624%,555,top_losers,2024-09-15 08:01:37.982
217,ABVEW,0.015,-0.0092,-38.0165%,37045,top_losers,2024-09-15 08:01:38.023
218,KUKE,0.6019,-0.3581,-37.3021%,1352335,top_losers,2024-09-15 08:01:38.072
219,HCTI,0.32,-0.1884,-37.0574%,828986,top_losers,2024-09-15 08:01:38.103
220,RVSNW,0.0451,-0.0249,-35.5714%,350,top_losers,2024-09-15 08:01:38.128
221,NVDA,119.1,-0.04,-0.0336%,236538118,most_actively_traded,2024-09-15 08:01:38.159
222,XXII,0.3422,0.0729,"27.0702%",182584608,most_actively_traded,2024-09-15 08:01:38.204
223,IMRX,2.02,0.59,"41.2587%",136186831,most_actively_traded,2024-09-15 08:01:38.238
224,SQQQ,8.17,-0.11,-1.3285%,127087959,most_actively_traded,2024-09-15 08:01:38.287
225,MULN,0.1322,-0.0348,-20.8383%,116176508,most_actively_traded,2024-09-15 08:01:38.327
226,ATPC,1.75,0.3,"20.6897%",80217072,most_actively_traded,2024-09-15 08:01:38.371
227,SOXL,33.44,1.63,"5.1242%",77456660,most_actively_traded,2024-09-15 08:01:38.406
228,NIO,5.53,0.25,"4.7348%",63894842,most_actively_traded,2024-09-15 08:01:38.436
229,TSLA,230.29,0.48,"0.2089%",59099214,most_actively_traded,2024-09-15 08:01:38.474
230,WBD,8.49,0.83,"10.8355%",57643497,most_actively_traded,2024-09-15 08:01:38.518
231,OPEN,2.27,0.08,"3.653%",57442173,most_actively_traded,2024-09-15 08:01:38.565
232,SOXS,23.27,-1.27,-5.1752%,53853804,most_actively_traded,2024-09-15 08:01:38.600
233,SMX,5.95,3.5,"142.8571%",49583555,most_actively_traded,2024-09-15 08:01:38.637
234,PLTR,35.59,0.68,"1.9479%",49355047,most_actively_traded,2024-09-15 08:01:38.673
235,SOFI,7.74,0.28,"3.7534%",44801175,most_actively_traded,2024-09-15 08:01:38.706
236,TSLL,10.91,0.02,"0.1837%",44323553,most_actively_traded,2024-09-15 08:01:38.742
237,TQQQ,67.35,0.87,"1.3087%",43506946,most_actively_traded,2024-09-15 08:01:38.793
